Hora,21 a 30 km,31 a 40 km,41 a 50 km,51 a 60 km,61 a 70 km,71 a 80 km,81 a 90 km,Média Total
06,13.53,28.93,49.72,18.0,0.47,0.04,0.01,15.81
07,21.4,37.31,59.18,17.37,0.39,0.03,0.01,19.38
08,22.27,38.61,59.63,18.3,0.47,0.04,0.01,19.9
Total,19.1,34.99,56.22,17.89,0.44,0.04,0.01,18.38
